Feature,Mean_ABS_SHAP
TXLNGY,0.05474728884663777
ENSG00000276345,0.0467167112766894
EPB41,0.021025684223306917
Length of Hospitalization,0.01982961074422879
RNF220,0.018932014678076207
FOXJ2,0.016578682103045354
RCN2,0.015896028852149992
SLC45A4,0.014641171196211444
DCUN1D1,0.013999243427260232
TNRC6B,0.013992671552436149
SUSD1,0.012370498599130638
RPL29,0.012276757927569397
DNAJC16,0.011067557242129468
RBM3,0.009085000979881542
DGKG,0.008986238561972757
DTL,0.008795988001837922
HARBI1,0.008147815125465916
FECH,0.006856022942445732
DCBLD1,0.006771632925667905
RNF10,0.006150777237048746
